iter	CrossEntropy
0	0.680322007
1	0.6786076747
2	0.6712221525
3	0.6712218391
4	0.6660919377
5	0.6639854699
6	0.6628400043
7	0.6620746902
8	0.6544173839
9	0.649671046
10	0.6403459745
11	0.6326824508
12	0.6326823687
13	0.6311796023
14	0.6309726016
15	0.6309725297
16	0.6287863606
17	0.6287863599
18	0.6265803738
19	0.6246065245
20	0.6246065235
21	0.6188587567
22	0.618858723
23	0.617049045
24	0.6152210784
25	0.6152210667
26	0.6152210551
27	0.6152210541
28	0.6087769775
29	0.6067877963
30	0.6052982352
31	0.6052980957
32	0.6003941223
33	0.6003937854
34	0.5930445998
35	0.5930439213
36	0.5879284969
37	0.5827211824
38	0.5827193643
39	0.5799866559
40	0.5799805016
41	0.5746815243
42	0.5704932972
43	0.5703595871
44	0.5687606736
45	0.5687593037
46	0.5667008053
47	0.5584763093
48	0.5569704779
49	0.556968568
50	0.5569667583
51	0.5569650437
52	0.5521369217
53	0.547032962
54	0.5446469433
55	0.5406073976
56	0.535280411
57	0.5352791386
58	0.5352779331
59	0.5327707252
60	0.5287211497
61	0.5287196417
62	0.5278859828
63	0.52647519
64	0.5263027232
65	0.5234604709
66	0.5233033528
67	0.5187835738
68	0.5187824349
69	0.5187813557
70	0.5177569641
71	0.5137085122
72	0.5122751326
73	0.5098849193
74	0.5097309041
75	0.5094008596
76	0.5093996565
77	0.5080948369
78	0.5080929255
79	0.5079867489
80	0.5042063794
81	0.5035513056
82	0.5035499298
83	0.5022817803
84	0.4975331959
85	0.4968463572
86	0.4937988685
87	0.4920608691
88	0.4909912364
89	0.4909904956
90	0.4909174578
91	0.4908448767
92	0.4907281144
93	0.4890780936
94	0.4886487344
95	0.4881673819
96	0.487661448
97	0.4876609234
98	0.4876604263
99	0.4841513302
100	0.4841507744
101	0.4831826316
102	0.4831377221
103	0.4823044401
104	0.4812252428
105	0.4812249909
106	0.4778323877
107	0.4778320812
108	0.4778317909
109	0.4776255512
110	0.4768534854
111	0.4767510198
112	0.4766549017
113	0.4759569536
114	0.4746627895
115	0.4746249304
116	0.4743827887
117	0.4737528674
118	0.4737528588
119	0.473302496
120	0.4733024673
121	0.4733024507
122	0.4732151916
123	0.4728389778
124	0.4724581226
125	0.4719358878
126	0.4719358712
127	0.4719358708
128	0.4697991407
129	0.4687269064
130	0.468484042
131	0.4684228747
132	0.468084224
133	0.467368808
134	0.4670669081
135	0.4640539903
136	0.4616878108
137	0.4607516225
138	0.4606903847
139	0.4603139929
140	0.4603139895
141	0.460271569
142	0.4592349055
143	0.4592349036
144	0.4589748223
145	0.4586376468
146	0.4586376178
147	0.4579693876
148	0.4577346755
149	0.4577346755
150	0.4569101311
151	0.4569101285
152	0.4560506321
153	0.4551678071
154	0.4549681588
155	0.4549111921
156	0.4549111866
157	0.4549111745
158	0.4549111723
159	0.4546752349
