iter	Passed	Remaining
0	80	80396
1	92	45958
2	118	39395
3	129	32319
4	155	30965
5	175	29024
6	186	26513
7	203	25195
8	226	24898
9	236	23450
10	359	32328
11	434	35805
12	446	33869
13	463	32663
14	479	31457
15	489	30131
16	501	29001
17	512	27940
18	529	27349
19	544	26692
20	555	25886
21	589	26208
22	600	25526
23	616	25056
24	631	24617
25	642	24075
26	653	23549
27	662	23010
28	685	22940
29	707	22877
30	735	22998
31	747	22625
32	770	22568
33	782	22225
34	880	24290
35	891	23882
36	914	23789
37	935	23694
38	946	23333
39	965	23171
40	976	22845
41	1003	22884
42	1030	22941
43	1046	22736
44	1069	22691
45	1080	22405
46	1097	22258
47	1227	24350
48	1266	24580
49	1278	24288
50	1289	23994
51	1301	23723
52	1330	23777
53	1366	23941
54	1393	23935
55	1424	24008
56	1486	24585
57	1497	24317
58	1507	24042
59	1535	24050
60	1636	25193
61	1647	24920
62	1662	24720
63	1687	24680
64	1700	24463
65	1732	24513
66	1754	24425
67	1803	24712
68	1814	24485
69	1826	24267
70	1841	24098
71	1909	24605
72	1929	24500
73	1962	24558
74	1977	24384
75	2000	24324
76	2012	24118
77	2037	24088
78	2048	23881
79	2064	23737
80	2147	24369
81	2171	24308
82	2182	24109
83	2202	24015
84	2273	24474
85	2299	24437
86	2369	24870
87	2389	24761
88	2409	24665
89	2422	24491
90	2442	24397
91	2464	24320
92	2477	24162
93	2516	24257
94	2533	24138
95	2547	23986
96	2562	23855
97	2573	23688
98	2586	23543
99	2713	24420
100	2723	24239
101	2750	24218
102	2765	24079
103	2782	23970
104	2799	23860
105	2810	23707
106	2904	24237
107	2915	24079
108	2926	23921
109	2944	23821
110	3076	24636
111	3092	24519
112	3105	24377
113	3135	24368
114	3149	24238
115	3170	24157
116	3196	24120
117	3214	24025
118	3225	23876
119	3237	23744
120	3248	23600
121	3259	23461
122	3274	23346
123	3297	23295
124	3327	23292
125	3346	23214
126	3356	23074
127	3367	22943
128	3478	23488
129	3507	23474
130	3523	23371
131	3534	23243
132	3546	23120
133	3573	23094
134	3589	22996
135	3764	23915
136	3912	24645
137	3940	24615
138	3955	24503
139	3977	24435
140	3988	24300
141	4000	24170
142	4030	24154
143	4041	24022
144	4054	23905
145	4084	23891
146	4098	23782
147	4126	23757
148	4140	23648
149	4151	23524
150	4177	23490
151	4188	23366
152	4208	23295
153	4231	23248
154	4244	23139
155	4258	23041
156	4271	22936
157	4282	22819
158	4292	22706
159	4321	22689
160	4338	22609
161	4349	22498
162	4360	22389
163	4370	22280
164	4380	22169
165	4402	22120
166	4439	22146
167	4538	22474
168	4724	23231
169	4745	23168
170	4756	23057
171	4768	22957
172	4780	22851
173	4789	22735
174	4799	22625
175	4811	22525
176	4821	22418
177	4834	22324
178	4848	22237
179	4885	22254
180	4917	22249
181	4966	22320
182	4976	22216
183	5200	23064
184	5222	23007
185	5239	22927
186	5252	22833
187	5265	22742
188	5289	22696
189	5299	22592
190	5312	22500
191	5492	23112
192	5505	23019
193	5516	22920
194	5548	22904
195	5637	23126
196	5651	23036
197	5718	23164
198	5729	23061
199	5742	22968
200	5753	22872
201	5780	22833
202	5805	22791
203	5819	22707
204	5833	22620
205	5844	22528
206	5871	22492
207	5881	22395
208	5912	22376
209	5922	22280
210	5945	22233
211	5972	22198
212	6005	22188
213	6031	22152
214	6043	22064
215	6071	22035
216	6087	21966
217	6223	22325
218	6235	22237
219	6246	22145
220	6257	22058
221	6276	21995
222	6508	22676
223	6577	22786
224	6587	22691
225	6608	22633
226	6617	22536
227	6633	22460
228	6644	22369
229	6709	22461
230	6723	22381
231	6754	22358
232	6765	22272
233	6793	22239
234	6803	22146
235	6823	22090
236	6835	22005
237	6848	21925
238	6870	21876
239	6892	21827
240	6918	21790
241	6931	21709
242	6953	21660
243	6964	21577
244	6981	21513
245	6990	21427
246	7009	21370
247	7020	21287
248	7041	21238
249	7062	21188
250	7082	21135
251	7092	21052
252	7107	20984
253	7119	20908
254	7138	20856
255	7149	20778
256	7160	20702
257	7175	20637
258	7189	20568
259	7204	20505
260	7214	20426
261	7226	20354
262	7259	20344
263	7291	20328
264	7302	20254
265	7314	20184
266	7325	20110
267	7344	20059
268	7357	19994
269	7493	20258
270	7629	20522
271	7655	20490
272	7677	20446
273	7689	20373
274	7837	20662
275	7850	20592
276	7876	20559
277	7895	20505
278	7905	20430
279	7938	20414
280	7950	20343
281	7974	20304
282	8008	20289
283	8020	20220
284	8031	20149
285	8042	20079
286	8068	20044
287	8079	19973
288	8095	19915
289	8105	19844
290	8132	19814
291	8143	19745
292	8176	19729
293	8188	19663
294	8219	19643
295	8237	19591
296	8256	19543
297	8267	19476
298	8282	19418
299	8435	19682
300	8450	19623
301	8461	19556
302	8473	19491
303	8482	19421
304	8508	19387
305	8519	19321
306	8544	19287
307	8555	19222
308	8570	19165
309	8580	19098
310	8610	19076
311	8625	19020
312	8641	18967
313	8668	18937
314	8678	18871
315	8703	18838
316	8713	18774
317	8745	18755
318	8757	18694
319	8830	18764
320	8841	18701
321	8863	18661
322	9000	18865
323	9112	19012
324	9219	19148
325	9238	19101
326	9255	19048
327	9265	18983
328	9275	18918
329	9308	18899
330	9327	18852
331	9345	18803
332	9433	18895
333	9524	18991
334	9686	19228
335	9697	19164
336	9743	19168
337	9767	19130
338	9788	19086
339	9885	19190
340	9896	19124
341	9916	19079
342	9943	19045
343	9954	18982
344	9976	18940
345	9990	18884
346	10009	18835
347	10065	18858
348	10208	19041
349	10223	18985
350	10234	18923
351	10330	19018
352	10352	18975
353	10365	18915
354	10600	19260
355	10613	19200
356	10648	19178
357	10661	19119
358	10675	19061
359	10690	19005
360	10701	18941
361	10714	18884
362	10741	18850
363	10755	18792
364	10766	18731
365	10939	18949
366	10966	18914
367	10984	18864
368	11009	18827
369	11041	18800
370	11063	18757
371	11075	18697
372	11097	18653
373	11112	18600
374	11136	18561
375	11158	18518
376	11180	18476
377	11205	18438
378	11264	18456
379	11276	18398
380	11290	18342
381	11337	18342
382	11363	18306
383	11375	18248
384	11386	18189
385	11400	18133
386	11413	18078
387	11444	18052
388	11458	17997
389	11510	18004
390	11540	17975
391	11554	17921
392	11577	17881
393	11591	17828
394	11608	17780
395	11851	18076
396	11863	18018
397	11875	17961
398	11887	17905
399	11932	17898
400	11958	17863
401	11971	17808
402	11987	17757
403	11997	17699
404	12046	17697
405	12075	17667
406	12086	17609
407	12103	17562
408	12115	17506
409	12137	17466
410	12160	17427
411	12170	17369
412	12191	17328
413	12210	17283
414	12233	17244
415	12244	17189
416	12256	17135
417	12272	17087
418	12288	17040
419	12313	17004
420	12330	16957
421	12423	17015
422	12434	16962
423	12448	16910
424	12460	16858
425	12473	16807
426	12618	16933
427	12637	16889
428	12648	16834
429	12659	16780
430	12681	16742
431	12713	16715
432	12723	16661
433	12749	16627
434	12762	16576
435	12776	16527
436	12790	16478
437	12801	16426
438	13009	16625
439	13026	16578
440	13036	16525
441	13050	16475
442	13062	16424
443	13167	16489
444	13178	16436
445	13199	16396
446	13220	16355
447	13236	16309
448	13276	16292
449	13286	16239
450	13297	16186
451	13521	16393
452	13547	16358
453	13644	16409
454	13666	16369
455	13677	16317
456	13696	16273
457	13706	16220
458	13717	16167
459	13754	16146
460	13775	16106
461	13794	16063
462	13951	16181
463	13961	16128
464	13971	16075
465	13984	16025
466	14000	15979
467	14010	15926
468	14020	15874
469	14040	15833
470	14051	15781
471	14061	15730
472	14074	15681
473	14099	15646
474	14144	15633
475	14155	15583
476	14172	15539
477	14221	15531
478	14241	15490
479	14437	15640
480	14452	15593
481	14463	15544
482	14484	15504
483	14494	15452
484	14651	15558
485	14757	15607
486	14776	15564
487	14796	15523
488	14805	15471
489	14815	15420
490	14845	15389
491	15020	15509
492	15033	15460
493	15055	15421
494	15070	15375
495	15092	15336
496	15110	15293
497	15124	15246
498	15134	15195
499	15148	15148
500	15177	15117
501	15292	15171
502	15308	15126
503	15322	15078
504	15340	15036
505	15360	14995
506	15382	14957
507	15393	14908
508	15404	14859
509	15467	14861
510	15544	14875
511	15572	14842
512	15584	14794
513	15594	14745
514	15615	14705
515	15627	14658
516	15641	14613
517	15657	14569
518	15673	14525
519	15683	14477
520	15696	14431
521	15710	14386
522	15728	14344
523	15738	14296
524	15869	14358
525	15880	14310
526	15957	14322
527	16000	14303
528	16016	14260
529	16073	14254
530	16106	14225
531	16172	14227
532	16197	14192
533	16368	14284
534	16592	14421
535	16602	14372
536	16613	14324
537	16624	14276
538	16635	14228
539	16652	14185
540	16662	14136
541	16675	14090
542	16686	14044
543	16697	13996
544	16705	13947
545	16736	13916
546	16746	13868
